name,state,address,notes,display_order,status
"OUTREACH SIGNATURE HOSPITAL, LEKKI",Lagos,"6, Muritala Eletu Way, Osapa London. Lekki, Eti-Osa, Lagos",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
OUTREACH WOMEN AND CHILDREN HOSPITAL AJAH,Lagos,"No. 6, Murtala Eletu Way, Osapa London off Lekki-Epe Expressway (coming from Ajah, right turn immediately after First Bank and before the footbridge by Circle Mall, Osapa London Area.",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
PEREZ MEDCARE,Lagos,"39A CASTLE ROCK AVENUE, OSAPA LONDON , LEKKI LAGOS",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 5 | Service: General,0,active
PINNACLE MEDICAL SERVICES LEKKI,Lagos,"0, BLUEBERRY STREET, STILL WATERS GARDEN ESTATE, IKATE LEKKI LAGOS.",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: General,0,active
PREMIER SPECIALISTS HOSPITAL,Lagos,"7,ogalade Close off Ologun Agbaje Victoria Island, 64 Emma Abimbola cole street Lekki phase 1",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 5 | Service: General,0,active
PRESTON HOSPITAL,Lagos,"20, OLAITAN SEBANJO STREET, OFF ADMIRALTY WAY, LEKKI PHASE ONE, LAGOS STATE",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: General,0,active
ST KIZITO CLINIC,Lagos,"Jakande Housing Estate Ilasan off Lekki-Epe Expressway, Lagos Nigeria",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
THE PEARLS SPECIALIST MEDICAL CENTER,Lagos,"9a, Olawale Onitiri Cole Avenue, Off Admiralty Road, Lekki Phase 1, Lagos",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 4 | Service: General,0,active
TRANQUIL & QUEST MEDICAL AND DIAGNOSTICS LTD,Lagos,"15 ANTHONY ETUKUDO ROAD, LEKKI PHASE 1",City/Town: lekki | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
VIGOR HOSPITAL,Lagos,"No 10 Kingdom Hall Street Abijo, Km 41 Lekki Epe Expressway, Ibeju Lekki, Lagos.",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 2 | Service: General,0,active
